toilet_id,name,addr,lat,lng,male_wc,female_wc,male_wc_disabled,female_wc_disabled,accessible,district,dong
NMG-0212,이기대공원관리초소입구 공중화장실,부산광역시 남구 이기대공원로 105,35.122673,129.122445,3,3,1,1,1,남구,용호동
NMG-0213,용호1동 체육공원,부산광역시 남구 동명로101번길 37-13,35.121331,129.105992,2,2,0,0,0,남구,용호동
NMG-0214,유선정 체육공원,부산광역시 남구 신선대산복로 135,35.109595,129.106931,2,2,0,0,0,남구,용호동
NMG-0215,이기대공원큰고개쉼터 공중화장실,부산광역시 남구 이기대공원로 269,35.113161,129.122315,3,3,0,0,0,남구,용호동
NMG-0216,분포셀프주유소,부산광역시 남구 용호로 116,35.12226,129.11198,3,2,0,0,0,남구,용호동
NMG-0217,부산용호동우체국(1층),부산광역시 남구 용호로 163,35.11767,129.11165,2,1,1,0,1,남구,용호동
NMG-0218,구도일주유소용호,부산광역시 남구 용호로 172,35.11731,129.11093,2,1,0,0,0,남구,용호동
NMG-0219,비치주유소,부산광역시 남구 용호로 60,35.12595,129.11041,2,2,0,0,0,남구,용호동
NMG-0220,용호3치안센터,부산광역시 남구 용호로159번길 15,35.11809,129.11247,3,0,0,0,0,남구,용호동
NMG-0221,부산시립박물관 외부화장실,부산광역시 남구 유엔평화로 63,35.12970,129.09382,8,3,0,0,0,남구,대연동
NMG-0222,대연1치안센터,부산광역시 남구 유엔평화로13번길 63,35.13411,129.09555,2,0,0,0,0,남구,대연동
NMG-0223,남부교육지원청,부산광역시 남구 못골로 29,35.13630,129.08546,10,6,1,1,1,남구,대연동
NMG-0224,용호2동행정복지센터,부산광역시 남구 용호로197번길 41,35.11502,129.11340,4,1,1,1,1,남구,용호동
NMG-0225,남구보건소,부산광역시 남구 못골로 23,35.13619,129.08502,25,10,3,3,1,남구,대연동
NMG-0226,용호3동행정복지센터,부산광역시 남구 동명로145번길 33,35.12112,129.11278,4,1,1,1,1,남구,용호동
NMG-0227,용호4동행정복지센터,부산광역시 남구 용호로216번길 10,35.11340,129.11032,7,1,0,0,0,남구,용호동
NMG-0228,문현1동 행정복지센터,부산광역시 남구 고동골로60번길 1,35.14265,129.07144,4,1,1,0,0,남구,문현동
NMG-0229,문현4동 주민복합센터,부산광역시 남구 장고개로 79,35.13233,129.06992,5,3,0,0,0,남구,문현동
NMG-0230,성지셀프주유소,부산광역시 남구 유엔로 42,35.12717,129.08154,3,1,0,0,0,남구,우암동
NMG-0231,대연1동행정복지센터,부산광역시 남구 유엔평화로 24,35.13308,129.09161,13,13,1,1,1,남구,대연동
NMG-0232,부산시립박물관 제2전시관,부산광역시 남구 유엔평화로 63,35.12970,129.09372,27,11,1,0,1,남구,대연동
NMG-0233,굿오일주유소,부산광역시 남구 북항로 108,35.10908,129.08204,2,1,0,0,0,남구,감만동
NMG-0234,용호지구대 공중화장실,부산광역시 남구 분포로 1,35.12556,129.11237,2,1,1,1,1,남구,용호동
NMG-0235,대연4동행정복지센터,부산광역시 남구 석포로91번길 96,35.13002,129.09130,4,3,1,1,1,남구,용호동
NMG-0236,문현4동행정복지센터,부산광역시 남구 수영로 12,35.13636,129.06903,4,2,1,1,1,남구,문현동
NMG-0237,광진LPG충전소,부산광역시 남구 수영로 212,35.13483,129.08967,7,1,0,0,0,남구,대연동
