issue,toilet_id,name,addr,raw_dong,legal_dong,admin_dong
MISSING_DONG_MAPPING,NMG-0207,용호동 섶자리,부산광역시 남구 섶자리길 111,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0209,장자산체육공원,부산광역시 남구 이기대공원로 11,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0210,신선대 입구 임도,부산광역시 남구 신선대산복로174번길 280,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0211,이기대공원매점옆 공중화장실,부산광역시 남구 이기대공원로 105-19,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0212,이기대공원관리초소입구 공중화장실,부산광역시 남구 이기대공원로 105,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0214,유선정 체육공원,부산광역시 남구 신선대산복로 135,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0215,이기대공원큰고개쉼터 공중화장실,부산광역시 남구 이기대공원로 269,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0216,분포셀프주유소,부산광역시 남구 용호로 116,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0217,부산용호동우체국(1층),부산광역시 남구 용호로 163,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0218,구도일주유소용호,부산광역시 남구 용호로 172,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0219,비치주유소,부산광역시 남구 용호로 60,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0220,용호3치안센터,부산광역시 남구 용호로159번길 15,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0221,부산시립박물관 외부화장실,부산광역시 남구 유엔평화로 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0222,대연1치안센터,부산광역시 남구 유엔평화로13번길 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0223,남부교육지원청,부산광역시 남구 못골로 29,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0225,남구보건소,부산광역시 남구 못골로 23,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0232,부산시립박물관 제2전시관,부산광역시 남구 유엔평화로 63,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0233,굿오일주유소,부산광역시 남구 북항로 108,감만동,감만동,
MISSING_DONG_MAPPING,NMG-0234,용호지구대 공중화장실,부산광역시 남구 분포로 1,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0237,광진LPG충전소,부산광역시 남구 수영로 212,대연동,대연동,
